,ses-017,ses-019,ses-037,ses-045,ses-054,ses-002,ses-063,ses-039,ses-046,ses-024,ses-035,ses-053,ses-097,ses-023,ses-012,ses-007,ses-056,ses-040,ses-066,ses-080,ses-084,ses-092,ses-102,ses-030,ses-013,ses-082,ses-069,ses-086,ses-089,ses-034,ses-088,ses-073,ses-049,ses-093,ses-076,ses-005,ses-072,ses-036,ses-047,ses-031,ses-098,ses-051,ses-081,ses-067,ses-010,ses-009,ses-027,ses-060,ses-091,ses-077,ses-041,ses-015,ses-026,ses-028,ses-103,ses-059,ses-061,ses-096,ses-032,ses-048,ses-014,ses-011,ses-085,ses-057,ses-055,ses-101,ses-079,ses-042,ses-094,ses-083,ses-104,ses-022,ses-020,ses-074,ses-065,ses-099,ses-003,ses-021,ses-038,ses-100,ses-058,ses-075,ses-070,ses-018,ses-095,ses-071,ses-078,ses-105,ses-025,ses-087,ses-016,ses-033,ses-062,ses-068,ses-050,ses-029,ses-008,ses-006,ses-043,ses-044,ses-064,ses-004
10,2160.776,2523.4385,2506.6023,2230.6106,2363.1067,2149.7368,2361.3054,2329.884,2273.6794,2429.6443,2422.0027,2280.59,2954.6494,2268.1272,402.1184,2059.6484,2315.5664,2216.417,2516.012,2500.7446,2504.9575,2333.6306,2617.619,2246.2966,2626.3735,2451.6785,2539.1365,2554.145,2508.2559,1895.4595,2595.625,2457.6365,2200.165,11.690912,2421.989,1953.5582,2246.824,2243.897,2252.8557,2035.4631,2603.787,2373.597,2414.9138,2466.9612,2152.1172,2003.6361,2438.6968,2444.5615,2404.0674,2332.4814,2283.6794,2459.2747,2365.039,2449.0564,2865.8127,2328.149,2368.153,2828.3193,2325.975,2228.3135,2461.2412,2091.0,2583.5286,2459.5369,2034.2366,2912.944,2431.97,2366.2744,2824.5566,2446.6843,2897.0005,2209.8108,2437.1208,2418.703,2363.5635,2915.0393,2139.6191,2467.1067,2220.2842,2786.145,2567.7046,2578.0764,2562.7622,2137.3667,2818.037,2465.8794,2390.4663,161.37076,2511.3228,2542.219,2376.645,1866.3418,2342.3674,2526.335,2188.3838,2223.4739,2089.0508,2181.5918,2251.7856,2440.6787,2452.996,2110.7512
11,2153.9873,2521.289,2515.3596,2233.1047,2363.1753,2145.7234,2363.6907,2332.8806,2258.3855,2427.6792,2436.7307,2277.9194,2954.2163,2269.0325,402.147,2058.666,2313.1143,2218.2124,2513.689,2505.8015,2506.8086,2331.6948,2613.2034,2246.604,2627.4568,2450.7598,2539.1697,2554.0864,2505.8909,1900.3644,2596.1233,2457.896,2202.9392,11.706381,2422.3538,1950.4219,2250.542,2235.9468,2270.6724,2035.713,2602.9963,2377.6467,2416.8713,2468.0012,2150.5586,2003.1348,2439.7603,2443.1655,2404.958,2314.231,2279.7173,2459.3708,2366.7832,2436.874,2870.4485,2326.2134,2371.0125,2834.246,2324.7144,2227.7954,2455.7634,2089.168,2586.6306,2459.814,2033.3708,2914.4934,2432.4792,2364.0876,2828.7654,2448.0896,2898.6423,2208.1453,2434.2517,2418.6877,2361.564,2918.1582,2142.6045,2470.7217,2217.8333,2784.4714,2565.7405,2576.1436,2562.6077,2136.1313,2823.7124,2470.3176,2393.892,161.75479,2511.9346,2542.294,2377.258,1872.258,2341.967,2527.74,2190.3884,2243.2148,2087.8064,2181.819,2272.714,2443.4705,2457.11,2111.9556
12,2149.9626,2521.4868,2505.6848,2233.0862,2362.0913,2144.367,2363.3782,2332.67,2272.2656,2427.0737,2435.2402,2302.716,2954.803,2268.622,407.1429,2058.0276,2313.4812,2230.6162,2512.1465,2508.689,2510.8965,2332.6077,2610.5027,2248.8943,2627.5134,2451.001,2538.3542,2553.455,2503.5032,1904.4767,2595.0596,2458.7341,2201.7625,11.708213,2423.2,1948.0613,2249.1619,2238.6296,2267.966,2034.3944,2602.449,2380.562,2417.841,2468.7737,2151.7737,1999.0863,2441.2756,2442.7803,2408.0935,2337.7217,2273.0347,2457.0232,2370.2288,2433.3596,2868.776,2335.498,2372.1926,2834.5923,2324.916,2228.0222,2455.0737,2088.3103,2585.7397,2461.1318,2033.509,2918.7715,2434.3042,2362.1282,2827.0583,2447.8137,2898.623,2210.0898,2436.3691,2420.6963,2362.3806,2917.9324,2145.109,2473.7644,2214.8943,2783.4004,2563.3833,2576.0967,2562.459,2134.349,2827.3867,2472.7896,2392.8296,161.59906,2509.1106,2543.5427,2378.383,1871.899,2340.5903,2529.5908,2192.0227,2234.009,2087.0442,2179.9841,2266.315,2457.4148,2458.7505,2113.4487
13,2144.19,2518.7764,2509.0557,2229.5876,2362.0867,2145.119,2360.2097,2334.5425,2263.2102,2429.5544,2436.16,2290.2932,2957.8303,2265.7134,404.0176,2055.9734,2312.3374,2225.159,2510.8481,2506.9,2516.3064,2333.7595,2608.3518,2248.3735,2625.0144,2451.8232,2538.9028,2550.5012,2502.8257,1903.6959,2595.946,2458.5193,2211.1465,11.704034,2429.286,1944.5685,2248.879,2238.5935,2267.222,2034.9174,2600.79,2377.8962,2417.6492,2468.632,2152.3618,1995.0219,2436.677,2443.667,2408.589,2329.4932,2270.954,2453.0293,2368.4197,2429.7256,2864.9375,2343.8728,2370.4722,2837.1318,2325.987,2227.054,2454.569,2088.3853,2583.568,2462.1465,2032.6006,2918.4778,2434.3455,2362.9158,2824.9062,2448.079,2895.117,2209.0237,2433.8643,2422.8496,2361.942,2915.32,2145.0715,2472.8787,2214.1704,2783.431,2564.64,2575.6487,2562.9775,2136.1377,2821.445,2473.4412,2392.0725,161.39487,2527.268,2543.5522,2376.8398,1874.1619,2339.103,2531.2886,2191.1511,2230.2058,2086.7258,2177.1636,2265.7932,2451.9111,2456.3867,2112.7012
14,2143.467,2517.9749,2502.718,2226.148,2363.926,2146.6926,2358.792,2333.9695,2254.053,2437.2937,2431.658,2288.1194,2956.1907,2270.8523,403.92892,2055.5361,2310.5632,2229.3113,2509.232,2506.1191,2518.6074,2334.4338,2610.0657,2248.272,2623.9878,2454.3596,2537.2234,2552.0645,2501.8564,1900.1666,2597.0361,2456.3606,2221.0586,11.699178,2425.1235,1944.4105,2246.2598,2236.1045,2267.9568,2035.2919,2602.6587,2374.609,2413.6135,2468.0293,2154.3438,1991.6284,2435.4043,2443.1726,2408.6719,2326.6877,2269.346,2452.0732,2368.919,2431.737,2863.8777,2339.0286,2370.8467,2840.22,2322.5513,2225.661,2457.5635,2088.951,2582.5552,2461.763,2034.8788,2911.5317,2431.8257,2361.5698,2825.9595,2447.394,2892.6282,2206.0488,2434.2476,2423.0437,2376.9976,2915.8328,2140.6619,2472.1824,2215.3052,2790.3525,2566.181,2576.4712,2562.197,2137.8457,2828.7476,2470.1611,2391.473,161.44469,2518.2185,2541.6333,2376.9023,1873.5127,2339.0835,2532.983,2190.4844,2225.1208,2084.6755,2175.038,2263.484,2449.9849,2455.8955,2112.875
15,2142.4717,2517.2056,2501.1584,2223.678,2364.199,2149.2375,2358.325,2335.7585,2245.2224,2438.461,2428.17,2284.7556,2954.4482,2270.2654,403.20837,2053.6882,2308.876,2230.8738,2508.014,2507.2073,2513.5022,2336.961,2612.5923,2246.1135,2622.1016,2455.1743,2536.9314,2552.0034,2501.9463,1899.1642,2597.9468,2453.704,2217.215,11.692703,2426.0552,1946.8165,2245.4233,2229.8516,2263.843,2037.2887,2600.0886,2372.0447,2411.4338,2465.3843,2158.6353,1990.6082,2431.9387,2438.2676,2411.1294,2317.2153,2268.528,2452.7708,2367.205,2427.8416,2863.0137,2338.3447,2368.0288,2837.7556,2320.9714,2225.7102,2461.1733,2090.7124,2583.464,2462.4517,2033.5076,2908.4421,2429.1597,2362.034,2825.4143,2444.9055,2890.908,2207.6729,2434.4128,2424.127,2364.7778,2915.9812,2139.637,2472.3252,2215.7083,2789.7363,2570.5432,2576.844,2558.3826,2137.6262,2827.7297,2468.2512,2389.7214,161.382,2522.1519,2544.0586,2377.4368,1869.4739,2340.2468,2531.519,2190.4272,2224.0774,2084.2415,2173.396,2257.659,2444.2236,2452.7295,2111.3926
16,2145.8186,2518.3787,2499.2861,2220.3293,2364.2913,2148.2878,2358.5996,2338.7527,2242.9507,2441.1396,2425.6572,2278.1501,2953.4844,2270.9932,402.06805,2056.059,2307.5305,2224.7053,2508.1672,2506.1855,2509.5742,2338.523,2611.2769,2245.963,2625.49,2454.0864,2540.9326,2553.1055,2502.4902,1898.0853,2601.055,2452.4392,2226.4758,11.681739,2421.0286,1949.4587,2245.169,2227.4312,2259.1716,2037.5448,2599.0364,2379.4893,2414.054,2463.7153,2159.804,1991.9377,2435.0283,2435.4924,2412.056,2311.832,2268.8179,2452.5,2369.108,2431.3662,2862.0115,2330.5603,2365.4243,2833.8513,2321.288,2223.0085,2463.5476,2093.0203,2580.3186,2460.326,2030.0282,2906.6926,2430.5764,2363.896,2825.465,2444.196,2885.3728,2208.431,2435.5764,2423.2498,2366.6926,2914.7786,2136.374,2471.902,2214.2166,2793.22,2573.617,2577.0662,2557.6396,2136.872,2825.0022,2466.8225,2388.4666,161.15013,2519.0828,2542.671,2377.7893,1867.3733,2340.8848,2530.2798,2189.489,2225.6233,2085.1663,2172.6846,2252.3835,2436.9768,2451.7083,2111.331
17,2145.6245,2519.962,2497.5056,2219.1885,2364.6265,2145.7688,2358.5317,2339.2932,2262.4993,2445.642,2425.8335,2273.7039,2949.658,2270.31,402.82745,2057.614,2307.5193,2220.797,2507.1455,2503.7217,2506.329,2338.6292,2612.437,2246.9658,2623.5708,2451.5962,2541.4631,2553.7395,2504.9094,1894.3429,2600.1345,2453.8853,2222.76,11.68164,2416.6118,1951.7977,2244.3306,2225.9272,2256.4792,2034.6884,2596.4387,2383.0486,2417.2148,2462.0796,2159.1853,1994.3372,2435.2324,2433.0715,2411.9624,2308.0718,2271.7646,2452.9885,2369.422,2432.6418,2863.8918,2322.5027,2365.889,2831.3098,2341.0076,2221.9182,2465.113,2092.5977,2580.0942,2461.3784,2028.2916,2905.1213,2432.0613,2380.4539,2827.092,2442.4893,2884.8591,2209.6396,2437.714,2424.3164,2365.4956,2915.1414,2135.6697,2468.1558,2217.1711,2795.2944,2571.6575,2576.414,2555.978,2134.6694,2823.3984,2470.3164,2388.5076,161.1666,2514.7805,2541.6875,2376.759,1865.2322,2340.5374,2526.0713,2192.0728,2224.2366,2086.7407,2175.1868,2252.2554,2436.2166,2454.6172,2113.271
18,2145.962,2519.8635,2500.9297,2220.8188,2362.4902,2144.956,2359.1987,2341.3262,2266.1528,2448.8718,2423.714,2273.614,2950.0312,2267.9434,401.34103,2060.204,2306.068,2227.1582,2504.901,2502.9507,2505.2458,2339.3293,2615.6018,2250.231,2620.846,2451.4907,2543.2136,2555.4138,2503.5386,1893.7106,2597.4453,2456.845,2237.4927,11.701715,2415.6235,1953.6539,2243.9272,2226.847,2252.9465,2036.008,2597.9631,2381.2214,2418.739,2462.1938,2156.7034,1992.2883,2436.033,2433.5264,2414.4421,2305.2397,2275.5908,2455.3093,2367.1624,2431.9265,2867.525,2321.5713,2368.3337,2835.6096,2340.8303,2223.4263,2462.5566,2090.1184,2579.6316,2469.0654,2026.2313,2904.0881,2434.1045,2374.6692,2830.5955,2441.9126,2883.9263,2209.503,2438.0337,2424.3103,2358.7214,2916.8145,2136.8877,2468.0752,2217.8042,2794.3472,2571.0173,2574.8386,2557.7458,2132.4768,2820.108,2472.5425,2390.0046,161.3525,2512.2793,2542.749,2375.726,1865.0963,2341.9858,2526.6477,2192.3567,2223.963,2087.0278,2178.1672,2250.3127,2436.1663,2457.103,2114.3408
19,2143.1785,2521.1167,2505.4546,2222.3997,2362.3708,2143.084,2359.856,2343.1694,2255.4216,2447.7175,2422.2373,2272.9548,2953.8164,2266.7585,399.91367,2060.555,2303.8376,2222.0037,2506.6284,2500.9814,2504.035,2339.3364,2625.7869,2253.5095,2620.036,2453.2673,2545.0583,2559.304,2507.251,1891.3505,2598.2783,2458.375,2225.6829,11.723579,2414.4219,1952.6255,2246.3235,2227.0454,2251.3228,2034.3629,2603.5085,2382.6338,2420.3667,2463.8403,2154.8655,1991.195,2431.912,2434.6072,2416.17,2305.2004,2281.187,2452.9453,2365.8743,2433.8552,2886.2173,2324.1326,2373.3167,2835.999,2329.4194,2222.3381,2459.5164,2086.7036,2580.3667,2472.3916,2025.3527,2904.5986,2437.008,2373.5642,2829.7397,2445.936,2882.397,2207.4475,2437.5815,2425.2092,2354.913,2922.515,2139.8762,2466.4863,2216.6543,2791.2747,2570.1853,2575.053,2560.1873,2130.307,2817.3801,2471.187,2390.162,161.45282,2510.4214,2546.3801,2377.0398,1863.9355,2343.3315,2528.5312,2195.4495,2223.5461,2085.8777,2179.1157,2249.8977,2436.0298,2458.3894,2115.782
